"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,3):Position) (mm)","Load(8800 (0,3):Load) (kN)","Extension mm from Extensometer (mm)",
0,0,1,1,1,1,-0.000803913268446922,-0.0558018684387207,0.00118255623512268,
0.01,0.01,1,1,1,1,-0.00183492068052292,-0.0518262386322021,0.00145435343432426,
0.02,0.02,1,1,1,1,-0.00109913565516472,-0.0527560710906982,-0.00515222585504055,
0.031,0.031,1,1,1,1,0.000971962934732437,-0.0573217868804932,-0.00193119062590599,
0.041,0.041,1,1,1,1,-0.000313389918208122,-0.0533223152160645,-0.000553131142234802,
0.048,0.048,1,1,1,1,-0.000177133432030678,-0.0533342361450195,-0.0168013584453821,
0.051,0.051,1,1,1,1,0.000363350629806519,-0.0536799430847168,-0.00547170677340031,
0.062,0.062,1,1,1,1,0.000436020755767822,-0.0604510307312012,-1.66893017053604E-05,
0.072,0.072,1,1,1,1,0.000853873980045319,-0.0525712966918945,-0.00578880350580215,
0.083,0.083,1,1,1,1,3.63350629806519E-05,-0.0608742237091064,-0.00399112729353905,
0.09,0.09,1,1,1,1,-0.00249349369704723,-0.0592529773712158,0.00214099899020195,
0.094,0.094,1,1,1,1,0.00152607264518738,-0.0578463077545166,-0.00252723711538315,
0.104,0.104,1,1,1,1,0.000299764269590378,-0.0500380992889404,-0.00181913388588428,
0.115,0.115,1,1,1,1,-0.00195755151808262,-0.0567972660064697,0.00206470503954887,
0.126,0.126,1,1,1,1,0.0015442401766777,-0.0527620315551758,-0.00232934968087673,
0.136,0.136,1,1,1,1,-0.000685824313759804,-0.0567078590393066,0.00199794783272743,
0.147,0.147,1,1,1,1,0.000118088954687119,-0.0583350658416748,4.76837191581726E-06,
0.157,0.157,1,1,1,1,0.00140798369050026,-0.0484287738800049,-0.00597000163860321,
0.167,0.167,1,1,1,1,0.00141706745624542,-0.0519335269927979,0.00728607228736877,
0.178,0.178,1,1,1,1,0.00168049666285515,-0.0518202781677246,-0.00262975711157322,
0.188,0.188,1,1,1,1,0.00193484210371971,-0.0586867332458496,-0.000486373935413361,
0.198,0.198,1,1,1,1,0.00387876797318459,-0.050121545791626,-0.0135469446128368,
0.208,0.208,1,1,1,1,0.00261612453460693,-0.0563144683837891,0.00285148640565872,
0.219,0.219,1,1,1,1,0.00341549592018127,-0.0438511371612549,0.0169420254168987,
0.229,0.229,1,1,1,1,0.00266154336333275,-0.0497877597808838,-0.00329017662191391,
0.239,0.239,1,1,1,1,0.00277963231801987,-0.046306848526001,-0.00757217460231781,
0.25,0.25,1,1,1,1,0.0033609933257103,-0.0497877597808838,-0.00664472626469135,
0.26,0.26,1,1,1,1,0.0065493951022625,-0.0453054904937744,0.0127696999905586,
0.27,0.27,1,1,1,1,0.00817538917064667,-0.0459432601928711,0.00793933923983574,
0.28,0.28,1,1,1,1,0.0089020904302597,-0.041353702545166,-0.00269413013243675,
0.291,0.291,1,1,1,1,0.01059167085886,-0.0326693058013916,0.008454323406744,
0.301,0.301,1,1,1,1,0.0110186078488827,-0.0361502170562744,0.00289917012481689,
0.311,0.311,1,1,1,1,0.0149427946507931,-0.0374853610992432,0.0062990193007946,
0.321,0.321,1,1,1,1,0.0153788154065609,-0.0312685966491699,0.0101041800896168,
0.331,0.331,1,1,1,1,0.0174499139964581,-0.0293076038360596,0.00811576900072098,
