"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,3):Position) (mm)","Load(8800 (0,3):Load) (kN)","Extension mm from Extensometer (mm)",
0,0,1,1,1,1,0.000935627871751785,-0.00249743461608887,-0.00321388267126083,
0.01,0.01,1,1,1,1,0.00284321867823601,0.00152587890625,-0.0132012376489401,
0.02,0.02,1,1,1,1,0.00101738176345825,-0.00593066215515137,-0.00409364728972912,
0.031,0.031,1,1,1,1,-0.00133985544741154,-0.00835061073303223,-0.0112295158617496,
0.041,0.041,1,1,1,1,-0.000744868791103363,-0.00635385513305664,0.0112915046966553,
0.048,0.048,1,1,1,1,-0.00279325796663761,-0.00507235527038574,-0.0036191942841053,
0.049,0.049,1,1,1,1,0.000118088954687119,-0.00548958778381348,0.00158786784796715,
0.059,0.059,1,1,1,1,0.00207109858989716,0.00400543212890625,-0.00234365479662418,
0.068,0.068,1,1,1,1,0.00169866419434547,0.000226497650146484,-0.0160026561494827,
0.069,0.069,1,1,1,1,0.000381518161296844,-0.00302791595458984,0.00133991250834465,
0.08,0.08,1,1,1,1,-0.00116272201538086,0.00424385070800781,-0.00157117854626179,
0.091,0.091,1,1,1,1,-0.000254345440864563,-0.00115633010864258,-0.00597238582456112,
0.101,0.101,1,1,1,1,-2.72512972354889E-05,0.00755786895751953,-0.00205278410975933,
0.112,0.112,1,1,1,1,0.00118088954687119,0.0127315521240234,-0.000319480918359756,
0.123,0.123,1,1,1,1,-0.00033609933257103,0.0106453895568848,-0.00420331984379292,
0.133,0.133,1,1,1,1,0.00137164862751961,0.0194072723388672,0.000739097646951675,
0.143,0.143,1,1,1,1,0.00407861081957817,0.0249385833740234,0.00303268453845978,
0.154,0.154,1,1,1,1,0.00167141289710999,0.0247001647949219,-5.96046489477158E-05,
0.164,0.164,1,1,1,1,0.00299764269590378,0.0337481498718262,-0.00374317195391655,
0.174,0.174,1,1,1,1,0.00389693550467491,0.0366449356079102,-0.00145673762028217,
0.185,0.185,1,1,1,1,0.00132622979879379,0.0378131866455078,-0.00418186217017174,
0.195,0.195,1,1,1,1,0.0060588717520237,0.0543117523193359,-0.00906705919792652,
0.205,0.205,1,1,1,1,0.00305214529037476,0.0566244125366211,-0.0092267996571064,
0.216,0.216,1,1,1,1,0.00449646404385567,0.0708103179931641,0.000176429760885239,
0.226,0.226,1,1,1,1,0.0053957568526268,0.0827908515930176,5.24520910739899E-05,
0.236,0.236,1,1,1,1,0.00579544254541397,0.104272365570068,0.00310897848911285,
0.247,0.247,1,1,1,1,0.00886575536727905,0.153434276580811,-0.00497818028011322,
0.257,0.257,1,1,1,1,0.013598397320509,0.237119197845459,-0.00124931344194412,
0.267,0.267,1,1,1,1,0.0175861704826355,0.315892696380615,0.0261545199582577,
0.277,0.277,1,1,1,1,0.0211015878260136,0.400149822235107,0.011558533523941,
0.287,0.287,1,1,1,1,0.0241173980534077,0.479471683502197,0.0207138076023102,
0.298,0.298,1,1,1,1,0.0276782342255116,0.57222843170166,0.0220155731353283,
0.308,0.308,1,1,1,1,0.0312118191003799,0.640177726745605,0.0340366387351036,
0.318,0.318,1,1,1,1,0.0348271578669548,0.699722766876221,0.020380021568203,
0.328,0.328,1,1,1,1,0.038515166759491,0.754618644714355,0.0386810329811096,
0.338,0.338,1,1,1,1,0.0398686478555202,0.7912278175354,0.0342464470993996,
0.348,0.348,1,1,1,1,0.0404954276919365,0.819849967956543,0.0363969828334332,
0.359,0.359,1,1,1,1,0.042030584102869,0.845015048980713,0.0378465678958416,
0.369,0.369,1,1,1,1,0.0437110807657242,0.848376750946045,0.0279617329143524,
0.379,0.379,1,1,1,1,0.0427391178309917,0.857210159301758,0.0392484692390919,
0.389,0.389,1,1,1,1,0.0424847723901272,0.864875316619873,0.0402975110605717,
0.399,0.399,1,1,1,1,0.0449737242043018,0.87287425994873,0.0350666070689201,
0.409,0.409,1,1,1,1,0.0451917345821857,0.874423980712891,0.038280489740181,
0.42,0.42,1,1,1,1,0.0443741956651211,0.876998901367188,0.0371933009433746,
0.43,0.43,1,1,1,1,0.045264404708147,0.891947746276855,0.0286054631229877,
0.44,0.44,1,1,1,1,0.0438291697204113,0.89263916015625,0.0276899357151508,
0.45,0.45,1,1,1,1,0.0442924417734146,0.893247127532959,0.0381517436984539,
0.46,0.46,1,1,1,1,0.0453098235368729,0.908708572387695,0.0406217603508472,
0.47,0.47,1,1,1,1,0.0472628331720829,0.924003124237061,0.0288152714872837,
0.481,0.481,1,1,1,1,0.0477079376935959,0.925517082214355,0.0459384950369835,
0.491,0.491,1,1,1,1,0.0476716026306152,0.935506820678711,0.0446319611320496,
0.501,0.501,1,1,1,1,0.0470266552627087,0.938951969146729,0.0286006947510719,
0.511,0.511,1,1,1,1,0.0487071519255638,0.954103469848633,0.0424909621418476,
0.521,0.521,1,1,1,1,0.0488434084117413,0.958001613616943,0.0477218661334991,
0.531,0.531,1,1,1,1,0.0486799006283283,0.96055269241333,0.0346469903403282,
0.541,0.541,1,1,1,1,0.0496155285000801,0.981307029724121,0.0474548373062134,
0.551,0.551,1,1,1,1,0.0494066018879414,0.984954833984375,0.0440931351055622,
0.561,0.561,1,1,1,1,0.0499062090039253,0.990569591522217,0.0452041657619476,
0.571,0.571,1,1,1,1,0.0496427797973156,1.01199150085449,0.0467777284941673,
0.582,0.582,1,1,1,1,0.0503785648226738,1.02218389511108,0.056257251862812,
0.592,0.592,1,1,1,1,0.0514050303518772,1.03256702423096,0.0514555013435841,
0.602,0.602,1,1,1,1,0.0517956322789192,1.04461908340454,0.048246387044239,
0.612,0.612,1,1,1,1,0.0534942964732647,1.06083154678345,0.0461578401451111,
0.622,0.622,1,1,1,1,0.051950056296587,1.07485055923462,0.0486946140043259,
0.632,0.632,1,1,1,1,0.0549476989924908,1.08679533004761,0.0581646006291389,
0.642,0.642,1,1,1,1,0.0576001585900784,1.10948085784912,0.0460529359629631,
0.652,0.652,1,1,1,1,0.0584994513988495,1.12793445587158,0.0489807163192749,
0.662,0.662,1,1,1,1,0.0594804980993271,1.15348100662231,0.0501632725543976,
0.672,0.672,1,1,1,1,0.0598165974318981,1.17573738098145,0.0518512762125969,
0.682,0.682,1,1,1,1,0.0628687427222729,1.19272470474243,0.0386619594934463,
0.692,0.692,1,1,1,1,0.0635591089189053,1.21471881866455,0.057301525312376,
0.702,0.702,1,1,1,1,0.0640768835663795,1.23919248580933,0.0588798564165115,
0.713,0.713,1,1,1,1,0.0647490822315216,1.26445293426514,0.055475238868618,
0.723,0.723,1,1,1,1,0.0652396055817604,1.28116607666016,0.0604200405453205,
0.733,0.733,1,1,1,1,0.0658936367154121,1.30214691162109,0.0459289582931519,
