"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,3):Position) (mm)","Load(8800 (0,3):Load) (kN)","Extension mm from Extensometer (mm)",
0,0,1,1,1,1,-0.000926544106006622,-0.0226259231567383,0.00650405929317474,
0.002,0.002,1,1,1,1,0.0016441615998745,-0.0260889530181885,0.00581264536538124,
0.01,0.01,1,1,1,1,-0.00126264343857765,-0.0223159790039063,-0.00388383892543316,
0.02,0.02,1,1,1,1,1.81675314903259E-05,-0.0187277793884277,-0.0044465068114996,
0.022,0.022,1,1,1,1,-0.000231636026501656,-0.0178158283233643,-0.0168895733258247,
0.031,0.031,1,1,1,1,-0.00225277390480041,-0.0191986560821533,0.00920295779752731,
0.037,0.037,1,1,1,1,-0.00255708005726337,-0.0207185745239258,-0.00623941465184689,
0.038,0.038,1,1,1,1,9.08376574516296E-06,-0.0158786773681641,-0.00903129640855789,
0.048,0.048,1,1,1,1,-0.00122176649272442,-0.0138759613037109,-0.0126171120892525,
0.058,0.058,1,1,1,1,-0.00222552260756493,-0.0100016593933105,-0.00210523620083332,
0.068,0.068,1,1,1,1,0.000327015566825867,-0.00424385070800781,-0.000894069734215736,
0.079,0.079,1,1,1,1,-0.000417853224277496,-0.0035703182220459,-0.00186204923312664,
0.09,0.09,1,1,1,1,0.00331557449698448,0.011754035949707,-0.00473976168432236,
0.1,0.1,1,1,1,1,0.00170774796009064,0.0278592109680176,-0.00588655513007641,
0.111,0.111,1,1,1,1,0.00412402964830399,0.0598669052124023,0.00137805948367119,
0.122,0.122,1,1,1,1,0.00614062564373016,0.164127349853516,-0.00143289576070309,
0.132,0.132,1,1,1,1,0.0119905707836151,0.322675704956055,0.00648021743359566,
0.142,0.142,1,1,1,1,0.0170320607721806,0.478017330169678,0.00740051321334839,
0.153,0.153,1,1,1,1,0.0226094929397106,0.63709020614624,0.00532150305805206,
0.163,0.163,1,1,1,1,0.0264973446786404,0.789308547973633,0.0122594841955662,
