"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,3):Position) (mm)","Load(8800 (0,3):Load) (kN)","Extension mm from Extensometer (mm)",
0,0,1,1,1,1,0.00128081097006798,-0.014263391494751,-0.00029563905878067,
0.01,0.01,1,1,1,1,0.000799371385574341,-0.0133693218231201,-0.000133514413642883,
0.02,0.02,1,1,1,1,0.0010537168264389,-0.0116109848022461,-0.000145435343432426,
0.022,0.022,1,1,1,1,-0.000181675314903259,-0.0184237957000732,0.00694751788134575,
0.031,0.031,1,1,1,1,0.00058136100769043,-0.01373291015625,-0.00262975711157322,
0.033,0.033,1,1,1,1,-0.00179858561754227,-0.00895857810974121,-0.00109672554063797,
0.034,0.034,1,1,1,1,0.00177133432030678,-0.0147223472595215,-0.00212430968849659,
0.045,0.045,1,1,1,1,-0.00114455448389053,-0.013810396194458,-0.000934600895500183,
0.055,0.055,1,1,1,1,0.00138981615900993,-0.00693202018737793,-0.00917434756603241,
0.065,0.065,1,1,1,1,0.000499607115983963,-0.0050663948059082,-0.00231266037917137,
0.076,0.076,1,1,1,1,0.00178041808605194,0.00162124633789063,0.00386238125181198,
0.086,0.086,1,1,1,1,0.0017895018517971,0.0131487846374512,0.00241756456131935,
0.091,0.091,1,1,1,1,-6.35863602161407E-05,0.0147581100463867,-0.0124359139564514,
0.097,0.097,1,1,1,1,0.00166232913136482,0.0192880630493164,-0.00562191048874855,
0.108,0.108,1,1,1,1,0.00347908228039742,0.0248193740844727,-3.09944174528122E-05,
0.118,0.118,1,1,1,1,0.000354266864061356,0.0347733497619629,-0.000913143221879005,
0.129,0.129,1,1,1,1,0.00235269532799721,0.0442981719970703,0.0045299533200264,
0.139,0.139,1,1,1,1,0.00123539214134216,0.0612258911132813,0.00355243707728386,
0.15,0.15,1,1,1,1,0.00374251148700714,0.0945568084716797,0.000762939506530762,
0.16,0.16,1,1,1,1,0.00672198665142059,0.196480751037598,0.000534057654571533,
0.17,0.17,1,1,1,1,0.0107551786422729,0.383555889129639,0.00728607228736877,
0.181,0.181,1,1,1,1,0.0159874277114868,0.619542598724365,0.00807762202539444,
0.191,0.191,1,1,1,1,0.0183219555079937,0.810718536376953,0.0241661088693619,
0.201,0.201,1,1,1,1,0.0257797271847725,0.997591018676758,0.014533997599411,
0.212,0.212,1,1,1,1,0.029376898419857,1.18895769119263,0.0173759472612381,
0.222,0.222,1,1,1,1,0.0315024996042252,1.35159492492676,0.0173997891208172,
0.232,0.232,1,1,1,1,0.0361352201342583,1.495361328125,0.0307416937412739,
0.243,0.243,1,1,1,1,0.0383970778048038,1.6110897064209,0.0215578094314098,
0.253,0.253,1,1,1,1,0.0415673120498657,1.68174505233765,0.0192499174241543,
0.263,0.263,1,1,1,1,0.0424938561558723,1.73400640487671,0.0227689758980274,
0.273,0.273,1,1,1,1,0.0427027827680111,1.78197622299194,0.0249052065163136,
0.283,0.283,1,1,1,1,0.0448647190153599,1.81757211685181,0.0247287767554283,
0.294,0.294,1,1,1,1,0.0460728598594665,1.86506509780884,0.0363588358581066,
0.304,0.304,1,1,1,1,0.0465361319124699,1.90051794052124,0.0237321870250225,
0.314,0.314,1,1,1,1,0.0479895344316959,1.93706750869751,0.0242185609604359,
0.324,0.324,1,1,1,1,0.0498517064094543,1.97696685791016,0.0297784826142788,
0.334,0.334,1,1,1,1,0.0493975181221962,2.01373100280762,0.0266361255217552,
0.344,0.344,1,1,1,1,0.0513505277574062,2.0506739616394,0.0301790258552074,
0.355,0.355,1,1,1,1,0.0525041660070419,2.09718942642212,0.0310897848911285,
0.365,0.365,1,1,1,1,0.0509508420646191,2.13848352432251,0.0268173236545563,
0.375,0.375,1,1,1,1,0.0534397938787937,2.178955078125,0.0254726427742958,
0.385,0.385,1,1,1,1,0.053848563337326,2.20358371734619,0.0303125402688503,
0.395,0.395,1,1,1,1,0.0535215477705002,2.24102735519409,0.0354528451941013,
0.405,0.405,1,1,1,1,0.05630118008852,2.27804183959961,0.0216341033820629,
0.415,0.415,1,1,1,1,0.0592443201899528,2.32902765274048,0.0303030035250187,
0.426,0.426,1,1,1,1,0.0590353935778141,2.35762596130371,0.0297975561019421,
0.436,0.436,1,1,1,1,0.0601345292329788,2.38879919052124,0.0300121328381538,
0.446,0.446,1,1,1,1,0.0607885603666305,2.4268627166748,0.027999879889679,
